id,feedback,date,department
1,Micromanagement is still an issue in some teams.,2023-09-02,Sales
2,The onboarding process was seamless and welcoming.,2023-02-18,Sales
3,Some teams struggle with burnout.,2022-09-10,IT
4,Transparency and honesty are valued and practiced here.,2022-03-25,HR
5,The positive attitude here is contagious.,2023-06-20,Support
6,Not enough opportunities for internal promotion.,2023-11-17,Support
7,There's plenty of room for growth and internal mobility.,2022-05-15,Support
8,Our department constantly innovates and supports learning.,2022-01-10,HR
9,The positive attitude here is contagious.,2022-04-13,Sales
10,Weekly check-ins keep me aligned and motivated.,2022-09-29,Marketing
11,Micromanagement is still an issue in some teams.,2024-06-19,Marketing
12,Excellent communication and open-door policy from leadership.,2023-03-25,IT
13,Transparency and honesty are valued and practiced here.,2024-04-06,IT
14,I enjoy the autonomy given in my role.,2022-11-03,Sales
15,Tools are outdated and slow us down.,2022-09-28,Sales
16,Sometimes communication lacks transparency.,2022-06-09,Support
17,The recent training program really enhanced my skills.,2024-01-05,Support
18,Colleagues are supportive and the work culture is inclusive.,2023-06-02,HR
19,I feel empowered to take on new challenges.,2022-04-05,HR
20,Too many meetings affect productivity.,2022-01-04,Support
21,Feedback is often not acted upon.,2022-06-15,HR
22,The cafeteria serves nutritious and tasty meals.,2023-07-29,Sales
23,The flexible work schedule has improved my work-life balance.,2023-07-13,Sales
24,Some teams struggle with burnout.,2023-07-20,Marketing
25,I feel empowered to take on new challenges.,2022-11-12,Support
26,Too many meetings affect productivity.,2024-07-09,Support
27,The onboarding process was seamless and welcoming.,2023-11-14,Sales
28,I enjoy the autonomy given in my role.,2024-06-24,HR
29,Tools are outdated and slow us down.,2024-08-05,Marketing
30,Tools are outdated and slow us down.,2024-06-21,HR
31,I'm proud to be part of such a forward-thinking organization.,2024-03-12,HR
32,Not enough opportunities for internal promotion.,2022-10-01,Marketing
33,Micromanagement is still an issue in some teams.,2023-01-27,Sales
34,Not enough opportunities for internal promotion.,2022-07-24,HR
35,"This is by far the best team I've worked with. Not only is leadership supportive, but peers are respectful, driven, and kind. We celebrate wins together and learn from our failures without blame. There’s a clear path to growth, and I truly feel like I belong here.",2022-12-25,Support
36,Not enough opportunities for internal promotion.,2022-08-17,Sales
37,There's plenty of room for growth and internal mobility.,2022-12-03,Support
38,Feedback is often not acted upon.,2022-12-26,IT
39,I enjoy the autonomy given in my role.,2022-12-06,Sales
40,Colleagues are supportive and the work culture is inclusive.,2022-07-02,IT
41,Feedback is often not acted upon.,2022-02-09,Sales
42,The leadership genuinely cares about employee wellbeing.,2024-01-17,Support
43,Weekly check-ins keep me aligned and motivated.,2022-04-29,HR
44,Not enough opportunities for internal promotion.,2022-09-18,Sales
45,Great team collaboration and leadership support.,2023-06-17,IT
46,The recent training program really enhanced my skills.,2023-01-08,HR
47,I'm proud to be part of such a forward-thinking organization.,2023-10-01,Support
48,I appreciate the regular recognition from my manager.,2024-01-08,Support
49,The cafeteria serves nutritious and tasty meals.,2022-12-01,HR
50,I enjoy the autonomy given in my role.,2022-05-11,Marketing
51,There's plenty of room for growth and internal mobility.,2023-11-25,Marketing
52,Resources and tools provided make tasks more efficient.,2023-02-20,IT
53,Feedback is often not acted upon.,2022-10-21,Marketing
54,The positive attitude here is contagious.,2023-09-14,Support
55,This place feels like a second home.,2023-11-23,Marketing
56,Excellent communication and open-door policy from leadership.,2023-11-06,Sales
57,Transparency and honesty are valued and practiced here.,2022-12-10,Sales
58,Not enough opportunities for internal promotion.,2023-11-20,Support
59,The recent training program really enhanced my skills.,2022-05-31,Sales
60,I love the hybrid work environment we have.,2023-09-18,Sales
